n_alert_workers,n_enrichment_workers,n_filter_workers,wall_time_s,alerts_per_second,aps_per_alert_worker,aps_per_enrichment_worker,aps_per_filter_worker,filter_batch_mean,filter_batch_p50,filter_full_frac,filter_small_frac_lt500,enrich_enqueue_mean,enrich_enqueue_p50,alert_rate_mean,alert_active_s,enrich_active_s,filter_active_s,tail_idle_s
8,9,2,55.284417,527.1286482047916,65.89108102559895,58.5698498005324,263.5643241023958,677.7209302325581,1000.0,0.5348837209302325,0.3488372093023256,384.3050847457627,247.0,,24.962725,47.477543,54.365074,5.6367329999999995
8,12,2,55.311166,526.8737238336288,65.8592154792036,43.9061436528024,263.4368619168144,693.8571428571429,1000.0,0.5714285714285714,0.3333333333333333,298.3421052631579,158.0,,24.738336,39.203407,51.486998,8.514862
8,12,4,36.698798,794.0859534418539,99.26074418023174,66.17382945348783,198.52148836046348,520.3928571428571,412.0,0.3392857142857143,0.5357142857142857,298.3421052631579,118.5,,26.878682,38.490613,41.480852,0.0
8,13,1,77.33627299999999,376.8218827923089,47.10273534903861,28.98629867633145,376.8218827923089,809.5,1000.0,0.7777777777777778,0.2222222222222222,287.0126582278481,162.0,,26.507822,37.680654,82.189366,0.0
8,14,3,37.67997,773.4082590830088,96.6760323853761,55.24344707735777,257.8027530276696,607.125,782.0,0.4375,0.4375,276.5121951219512,116.0,,23.675009,36.006682,42.524451,0.0
9,8,1,78.055019,373.352032622015,41.483559180223885,46.66900407775187,373.352032622015,809.5,1000.0,0.6944444444444444,0.19444444444444445,492.9130434782609,713.5,,26.336759,50.901368,82.903298,0.0
9,14,2,55.180087,528.1252999836698,58.68058888707443,37.72323571311927,264.0626499918349,787.6216216216217,1000.0,0.6756756756756757,0.2702702702702703,238.67368421052632,111.0,,27.069683,35.749853,52.375723,7.625567
9,15,1,77.306664,376.96620824305654,41.88513424922851,25.131080549537103,376.96620824305654,832.6285714285714,1000.0,0.7714285714285715,0.17142857142857143,209.94444444444446,105.5,,26.468784,35.75325,82.162888,0.0
10,12,3,39.053911,746.1992731022509,74.6199273102251,62.18327275852091,248.73309103408363,620.0425531914893,661.0,0.40425531914893614,0.40425531914893614,328.60869565217394,185.0,,26.401411,38.400524,43.770444,0.0
11,12,2,55.186299999999996,528.0658424282839,48.00598567529853,44.005486869023656,264.03292121414194,710.780487804878,1000.0,0.5365853658536586,0.34146341463414637,365.7096774193548,200.0,,25.644508,38.461538,53.857879,6.144155
